Orig;dest;flow
 Vitoria da Conquista; Almadino;0
 Acopiara; Almadino;0
 Goiania; Almadino;0
 Araujos; Almadino;0
 Imperatriz; Almadino;0
 Sao Luis; Almadino;0
   Aimorés; Almadino;0
   Belo Horizonte; Almadino;0
   Bertopolis; Almadino;0
   Cachoeira da Prata; Almadino;0
   Caete; Almadino;0
   Carangola; Almadino;0
   Caratinga; Almadino;0
   Conceiçao Capim; Almadino;0
   Conselheiro Pena; Almadino;0
   Governador Valadares; Almadino;0
   Iapu; Almadino;0
   Ipatinga; Almadino;0
   Itabira; Almadino;0
   Itabirim de Mantena; Almadino;0
   Itanhomi; Almadino;0
   Itauna; Almadino;0
   Januaria; Almadino;0
   Joao Monlevade; Almadino;0
   Juaima; Almadino;0
   Ladainha; Almadino;0
   Lajinhas; Almadino;0
   Mantena; Almadino;0
   Mantenopolis; Almadino;0
   Matipo; Almadino;0
   Miradouro; Almadino;0
   Mirai; Almadino;0
   Mutum; Almadino;0
   Nanuque; Almadino;0
   Nova Era; Almadino;0
   Nova Lima; Almadino;0
   Ouro Branco; Almadino;0
   Pocrane; Almadino;0
   Resplendor; Almadino;0
   Rio Casca; Almadino;0
   Salto da Divisa; Almadino;0
   Santa Luzia; Almadino;0
   Santo Antonio de Pádua; Almadino;0
   Sao Manoel de Mutu; Almadino;0
   Teofilo Otoni; Almadino;0
   Timoteo; Almadino;0
   Ubaitaba; Almadino;0
   Valadares; Almadino;0
   Varginha; Almadino;0
  Paraiba; Almadino;0
  Jatoba; Almadino;0
  Recife; Almadino;0
  Parnaíba; Almadino;0
  Campos Dos Goytacazes; Almadino;0
  Casemiro De Abreu; Almadino;0
  Mage; Almadino;0
  Miguel Pereira; Almadino;0
  Nova Iguaçu; Almadino;0
  Parati; Almadino;0
  Penha; Almadino;0
  Rio de Janeiro; Almadino;0
  Volta Redonda; Almadino;0
  Natal; Almadino;0
  Cachoeiro do Sul; Almadino;0
  Guaibes; Almadino;0
  Santa Barbara do Oeste; Almadino;0
  Santo Andre; Almadino;0
  Sao Paulo; Almadino;0
 Cajueiro; Almadino;0
 Itapebi; Almadino;0
  Afonso Claudio; Almadino;0
  Aguia Branca; Almadino;0
  Apiaca; Almadino;0
  Aracruz; Almadino;0
  Baixo Guandu; Almadino;0
  Barra de São Francisco; Almadino;0
  Cachoeiro de Itapemirim; Almadino;0
  Castelo; Almadino;0
  Colatina; Almadino;0
  Conceicao da Barra; Almadino;0
  Conselheiro Pena; Almadino;0
  Domingos Martins; Almadino;0
  Ecoporanga; Almadino;0
  Governador Lindemberg; Almadino;0
  Ibatiba; Almadino;0
  Ibiraçu; Almadino;0
  Itaguacu; Almadino;0
  Itaunas; Almadino;0
  Jerônimo Monteiro; Almadino;0
  Joao Neiva; Almadino;0
  Laranja da Terra; Almadino;0
  Linhares; Almadino;0
  Marataizes; Almadino;0
  Montanha; Almadino;0
  Muniz Freire; Almadino;0
  Nova Venécia; Almadino;0
  Pancas; Almadino;0
  Pinheiros; Almadino;0
  Presidente Kennedy; Almadino;0
  Santa Leopoldina; Almadino;0
  Santa Teresa; Almadino;0
  Sao Gabriel da Palha; Almadino;0
  Sao Mateus; Almadino;0
  Vila Pavao; Almadino;0
RMGV - Cariacica; Almadino;0
RMGV - Fundao; Almadino;0
RMGV - Serra; Almadino;0
RMGV - Viana; Almadino;0
RMGV - Vila Velha; Almadino;0
RMGV - Vitoria; Almadino;0
RMGV; Aurelino Leal;0
